Team;Total DVOA Rank;Total DVOA;Prev. Year Rank;W-L;Weighted DVOA Rank;Weighted DVOA;Offense DVOA Rank;Offense DVOA;Defense DVOA Rank;Defense DVOA;Special Teams DVOA Rank;Special Teams DVOA;Estimated Wins Rank;Estimated Wins;Unadj. Total VOA Rank;Unadj. Total VOA;Schedule Rank;Schedule;Pythagorean Wins Rank;Pythagorean Wins;Variance Rank;Variance
DAL;17;0,018;13;8-8;17;0,009;12;0,062;23;0,045;15;0,002;16;8,2;18;-0,029;9;0,034;19;7,4;2;0,066
DEN;2;0,359;24;13-3;2;0,385;2;0,227;6;-0,126;13;0,006;1;14,6;1;0,381;32;-0,076;2;12,5;3;0,076
DET;16;0,031;10;4-12;15;0,036;8;0,121;22;0,039;30;-0,051;17;8,1;17;-0,028;6;0,05;23;6,4;1;0,055
GB;5;0,259;2;11-5;5;0,23;3;0,196;8;-0,065;18;-0,002;5;11,7;5;0,193;8;0,036;7;10,5;28;0,172
HOU;9;0,097;5;12-4;16;0,016;16;0,003;2;-0,171;32;-0,077;12;8,8;8;0,175;25;-0,043;8;10,2;18;0,14
IND;26;-0,162;32;11-5;25;-0,128;18;-0,025;31;0,146;12;0,009;24;6,2;23;-0,09;30;-0,075;20;7,2;9;0,114
JAX;31;-0,346;28;2-14;31;-0,317;28;-0,186;29;0,13;25;-0,03;31;2,6;31;-0,305;22;-0,032;31;3,3;6;0,098
KC;32;-0,435;27;2-14;32;-0,416;31;-0,26;32;0,154;22;-0,02;32;2;32;-0,471;19;-0,022;32;2,5;19;0,145
MIA;21;-0,08;18;7-9;23;-0,097;22;-0,086;15;-0,001;14;0,004;19;7,5;21;-0,059;18;-0,021;21;7,1;27;0,17
MIN;12;0,066;29;10-6;14;0,058;14;0,011;14;-0,008;5;0,047;9;9,5;14;0,039;5;0,054;13;8,8;4;0,079
NE;3;0,337;4;12-4;3;0,37;1;0,311;17;0,029;4;0,055;2;13,2;2;0,365;21;-0,029;1;12,7;11;0,124
NO;18;-0,012;1;7-9;18;-0,002;9;0,12;27;0,108;24;-0,023;21;7;16;0,004;12;0,015;15;8,2;20;0,146
NYG;8;0,119;12;9-7;9;0,112;7;0,129;18;0,03;10;0,02;10;9,2;10;0,108;11;0,02;9;10,2;32;0,346
NYJ;27;-0,191;11;6-10;27;-0,22;29;-0,205;10;-0,029;21;-0,015;26;5,4;26;-0,179;14;0;26;5,3;29;0,185
OAK;29;-0,302;22;4-12;28;-0,273;23;-0,101;30;0,143;31;-0,058;29;3,4;28;-0,261;27;-0,047;29;4,1;23;0,158
